-108.3	-84.5	-61.4	-44.6	-31.2	-23.2	-15.4	-10.3	-8.1	-5.9
-119.7	-86	-60.7	-41.5	-27.5	-23.64134	-19.84727	-14.74668	-11.31511	-7.90022
-115.2	-85.5	-59.1	-37.9	-21.4	-22.37413	-18.69065	-14.62595	-11.0773	-7.91195
-112.4	-88.5	-54.6	-32.78537	-20.17268	-17.85562	-14.0726	-11.50442	-8.70183	-6.39323
-70.5	-46.2	-31.4	-20.4	-14.6	-9.7	-6.9	-5.4	-4.6	-3.3
-17.3	-11.7	-10	-6.8	-3.4	-3.1	-2.2	-2.1	-2.2	-1.8
36.7	28	19.4	16.2	10.7	10.6	7.3	4.7	4.2	3.5
85.4	60.5	41.4	29.4	22	16.7	13.3	9.8	7.7	4.7
102.7	80.1	58.8	42.5	31.3	23.8	18.6	15.2	10.7	10.5
95.2	89.1	64.7	47.3	34.3	27.1	21.5	17.9	12.7	9.3
88.3	80.8	64.71012	53.2	42.1	31.8	25.9	20.1	16.4	12.4
76.70263	70.76565	59.34519	52.6	41.7	32.9	28.6	21.6	18.4	12.9
71.3	63	54.5	50.4	31.8	32.1	28.4	23.6	19.9	15.3
